iso3c,country,region,income_group,latest_year,gdp_per_capita_usd,health_exp_pct_gdp,health_exp_per_capita_usd,under5_mortality_per_1000
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2023,413.757894705303,14.9857626,59.06770706,54.9
ALB,Albania,Europe & Central Asia,Upper middle income,2023,9740.7023414631,7.05240345,590.62799072,9.4
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2023,5370.477235078,4.35082531,233.37947083,22.0
AND,Andorra,Europe & Central Asia,High income,2023,46812.448450114,7.69928026,3605.19799805,2.6
AGO,Angola,Sub-Saharan Africa,Lower middle income,2023,2885.51349130806,2.54692864,76.07118225,50.5
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2023,22012.2625947994,3.91348195,841.24884033,9.3
ARG,Argentina,Latin America & Caribbean,Upper middle income,2023,14261.8465667948,10.2695179,1456.98596191,9.7
ARM,Armenia,Europe & Central Asia,Upper middle income,2023,8159.08720967996,9.32119179,766.95874023,10.0
AUS,Australia,East Asia & Pacific,High income,2023,65058.3773146674,10.39852047,6980.38525391,3.7
AUT,Austria,Europe & Central Asia,High income,2023,56579.504175468,11.15297318,6267.93164063,3.3
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2023,7133.02838048328,4.27113533,299.81060791,18.7
BHS,"Bahamas, The",Latin America & Caribbean,High income,2023,38231.774484278,6.30260801,2262.33447266,12.7
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,2023,29290.1284215098,3.99562383,1175.81628418,8.6
BGD,Bangladesh,South Asia,Lower middle income,2023,2551.01773827307,2.17014575,53.46432495,30.6
BRB,Barbados,Latin America & Caribbean,High income,2023,25583.8722302505,5.40463829,1286.47680664,10.1
BLR,Belarus,Europe & Central Asia,Upper middle income,2023,7896.75388295584,7.08167362,558.22644043,2.4
BEL,Belgium,Europe & Central Asia,High income,2023,55244.68145811,10.80371571,5931.01464844,3.7
BLZ,Belize,Latin America & Caribbean,Upper middle income,2023,7424.75821321022,4.14735794,309.40835571,12.8
BEN,Benin,Sub-Saharan Africa,Lower middle income,2023,1394.17784721831,3.33732462,46.52822113,77.2
BTN,Bhutan,South Asia,Lower middle income,2023,3831.32535564326,4.41551638,162.19680786,18.0
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2023,4274.70820547613,6.91864729,255.04104614,16.4
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2023,8663.02326458629,8.9216938,772.88568115,6.0
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2023,7827.30027960734,6.25574684,489.59677124,34.6
BRA,Brazil,Latin America & Caribbean,Upper middle income,2023,10377.5892792557,9.73092747,1009.83563232,14.4
VGB,British Virgin Islands,Latin America & Caribbean,High income,2023,,,,12.7
BRN,Brunei Darussalam,East Asia & Pacific,High income,2023,32890.5491812019,2.2286067,733.00543213,10.1
BGR,Bulgaria,Europe & Central Asia,High income,2023,15854.0192893772,7.91853094,1257.87597656,5.9
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2023,873.198061670247,7.79943228,71.73455048,77.4
BDI,Burundi,Sub-Saharan Africa,Low income,2023,249.795164039029,9.09471226,28.14028931,48.7
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2023,4794.90119772843,5.84791613,290.12619019,11.6
KHM,Cambodia,East Asia & Pacific,Lower middle income,2023,2429.74853452838,4.61706829,114.56295776,19.1
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,2023,1720.47510154506,4.5545516,79.09996796,67.0
CAN,Canada,North America,High income,2023,54847.5370112652,11.18692875,6186.65234375,5.4
CAF,Central African Republic,Sub-Saharan Africa,Low income,2023,495.978897288721,10.65553188,53.81136703,92.6
TCD,Chad,Sub-Saharan Africa,Low income,2023,949.991054236266,4.99707747,47.43893051,100.6
CHL,Chile,Latin America & Caribbean,High income,2023,17081.5180740049,10.17470455,1736.52038574,6.9
CHN,China,East Asia & Pacific,Upper middle income,2023,12951.1782397043,5.94388866,763.37762451,6.1
COL,Colombia,Latin America & Caribbean,Upper middle income,2023,7012.49169137756,8.15838146,571.15496826,11.9
COM,Comoros,Sub-Saharan Africa,Lower middle income,2023,1723.89474946474,6.55212021,102.23101807,40.2
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,2023,660.21205238997,3.68495083,23.43148804,91.3
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,2023,2477.97845544866,3.29744148,75.55332184,40.3
CRI,Costa Rica,Latin America & Caribbean,High income,2023,17140.771430122,6.8663702,1163.30224609,10.1
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,2023,2591.9659048119,3.43218303,87.68105316,66.5
HRV,Croatia,Europe & Central Asia,High income,2023,22183.4982258492,7.14699411,1548.33959961,5.1
CUB,Cuba,Latin America & Caribbean,Upper middle income,2023,,9.38383102,,8.2
CYP,Cyprus,Europe & Central Asia,High income,2023,36623.70703125,8.11912918,2899.36499023,4.6
CZE,Czechia,Europe & Central Asia,High income,2023,31761.5944102491,8.42677402,2671.08398438,2.6
DNK,Denmark,Europe & Central Asia,High income,2023,68043.5466971243,9.5572958,6510.625,3.9
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2023,3381.29779710722,2.28316021,77.57087708,50.5
DMA,Dominica,Latin America & Caribbean,Upper middle income,2023,9912.96212766668,5.00757647,492.4524231,35.4
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2023,10630.431743829,4.59880495,488.8727417,31.5
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2023,6718.1447938811,7.56167889,509.49414063,13.0
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2023,3456.78965212363,4.88449335,141.41111755,22.9
SLV,El Salvador,Latin America & Caribbean,Upper middle income,2023,5319.7195268688,9.28738594,500.69497681,10.4
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2023,6788.35271638376,3.49941635,233.68379211,70.4
ERI,Eritrea,Sub-Saharan Africa,Low income,2023,,3.6837678,28.29782677,35.4
EST,Estonia,Europe & Central Asia,High income,2023,30264.0064885057,7.47082138,2258.4597168,2.1
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,2023,3755.52111232464,7.49763966,296.04562378,46.2
ETH,Ethiopia,Sub-Saharan Africa,Low income,2023,1055.81091593061,2.80310345,34.79846954,51.5
FJI,Fiji,East Asia & Pacific,Upper middle income,2023,5926.20586394763,3.61524153,212.88697815,29.2
FIN,Finland,Europe & Central Asia,High income,2023,52864.6931581216,10.47389507,5515.40478516,2.4
FRA,France,Europe & Central Asia,High income,2023,44700.1384177544,11.51974583,5149.0546875,4.3
GAB,Gabon,Sub-Saharan Africa,Upper middle income,2023,7802.82433276138,3.13430715,252.98246765,33.8
GMB,"Gambia, The",Sub-Saharan Africa,Low income,2023,883.024111978927,2.89250112,25.74407768,43.8
GEO,Georgia,Europe & Central Asia,Upper middle income,2023,8283.66960652261,6.85758877,554.3248291,8.8
DEU,Germany,Europe & Central Asia,High income,2023,54776.7668235491,11.74428654,6394.62255859,3.7
GHA,Ghana,Sub-Saharan Africa,Lower middle income,2023,2383.90410476221,2.94686937,70.25730896,37.2
GRC,Greece,Europe & Central Asia,High income,2023,23343.7103964562,8.39367008,1962.59594727,3.9
GRD,Grenada,Latin America & Caribbean,Upper middle income,2023,11414.4781691181,4.65330839,526.3918457,18.3
GTM,Guatemala,Latin America & Caribbean,Upper middle income,2023,5754.42833909847,6.80241346,392.01223755,21.2
GIN,Guinea,Sub-Saharan Africa,Lower middle income,2023,1555.49375806861,3.69442987,59.33010101,95.0
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,2023,964.431832665395,8.82204819,82.13543701,69.7
GUY,Guyana,Latin America & Caribbean,High income,2023,20473.7002190617,2.46673751,505.03240967,26.0
HTI,Haiti,Latin America & Caribbean,Lower middle income,2023,1681.84407667059,3.19156528,54.4146843,54.4
HND,Honduras,Latin America & Caribbean,Lower middle income,2023,3227.45762509776,7.70976162,249.15301514,15.5
HUN,Hungary,Europe & Central Asia,High income,2023,22208.6509820466,6.36868954,1419.87475586,3.8
