iso3c,country,region,income_group,capital_city,is_aggregate
ABW,Aruba,Latin America & Caribbean,High income,Oranjestad,False
AFE,Africa Eastern and Southern,Aggregates,Aggregates,,True
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,False
AFR,Africa,Aggregates,Aggregates,,True
AFW,Africa Western and Central,Aggregates,Aggregates,,True
AGO,Angola,Sub-Saharan Africa,Lower middle income,Luanda,False
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane,False
AND,Andorra,Europe & Central Asia,High income,Andorra la Vella,False
ARB,Arab World,Aggregates,Aggregates,,True
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,False
ARG,Argentina,Latin America & Caribbean,Upper middle income,Buenos Aires,False
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan,False
ASM,American Samoa,East Asia & Pacific,High income,Pago Pago,False
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,Saint John's,False
AUS,Australia,East Asia & Pacific,High income,Canberra,False
AUT,Austria,Europe & Central Asia,High income,Vienna,False
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Baku,False
BDI,Burundi,Sub-Saharan Africa,Low income,Bujumbura,False
BEA,East Asia & Pacific (IBRD-only countries),Aggregates,Aggregates,,True
BEC,Europe & Central Asia (IBRD-only countries),Aggregates,Aggregates,,True
BEL,Belgium,Europe & Central Asia,High income,Brussels,False
BEN,Benin,Sub-Saharan Africa,Lower middle income,Porto-Novo,False
BFA,Burkina Faso,Sub-Saharan Africa,Low income,Ouagadougou,False
BGD,Bangladesh,South Asia,Lower middle income,Dhaka,False
BGR,Bulgaria,Europe & Central Asia,High income,Sofia,False
BHI,IBRD countries classified as high income,Aggregates,Aggregates,,True
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Manama,False
BHS,"Bahamas, The",Latin America & Caribbean,High income,Nassau,False
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Sarajevo,False
BLA,Latin America & the Caribbean (IBRD-only countries),Aggregates,Aggregates,,True
